"severity","issueId","issueDescription","wcagConformance","url","context","howToFix","axeImpact","xpath","learnMore"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/","<button role=""button"" aria-haspopup=""true"" class=""dropdownMenu-module--button--eeb9b "">Join a plan</button>","Element's background color could not be determined due to a background image","serious",".desktopNav-module--listItem--e20a2:nth-child(1) > .dropdownMenu-module--wrapper--bc3d0 > .dropdownMenu-module--button--eeb9b[role=""button""][aria-haspopup=""true""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/","<button role=""button"" aria-haspopup=""true"" class=""dropdownMenu-module--button--eeb9b "">Find doctors &amp; drugs</button>","Element's background color could not be determined due to a background image","serious",".desktopNav-module--listItem--e20a2:nth-child(2) > .dropdownMenu-module--wrapper--bc3d0 > .dropdownMenu-module--button--eeb9b[role=""button""][aria-haspopup=""true""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/","<button role=""button"" aria-haspopup=""true"" class=""dropdownMenu-module--button--eeb9b "">My plan &amp; benefits</button>","Element's background color could not be determined due to a background image","serious",".desktopNav-module--listItem--e20a2:nth-child(3) > .dropdownMenu-module--wrapper--bc3d0 > .dropdownMenu-module--button--eeb9b[role=""button""][aria-haspopup=""true""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/","<button role=""button"" aria-haspopup=""true"" class=""dropdownMenu-module--button--eeb9b "">Member support</button>","Element's background color could not be determined due to a background image","serious",".desktopNav-module--listItem--e20a2:nth-child(4) > .dropdownMenu-module--wrapper--bc3d0 > .dropdownMenu-module--button--eeb9b[role=""button""][aria-haspopup=""true""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/","<h2>Save more. Live more.</h2>","Element's background color could not be determined due to a background image","serious",".backgroundHeroImage-module--textContent--36042 > div > h2","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/","<p>Devoted is a complete package of benefits, savings, and support, so everyone can live the life they want. Learn why thousands are choosing Devoted. Call us to get a plan recommendation.</p>","Element's background color could not be determined due to a background image","serious",".backgroundHeroImage-module--textContent--36042 > div > p:nth-child(2)","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/accessibility/","<button role=""button"" aria-haspopup=""true"" class=""dropdownMenu-module--button--eeb9b "">Join a plan</button>","Element's background color could not be determined due to a background image","serious",".desktopNav-module--listItem--e20a2:nth-child(1) > .dropdownMenu-module--wrapper--bc3d0 > .dropdownMenu-module--button--eeb9b[role=""button""][aria-haspopup=""true""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/accessibility/","<button role=""button"" aria-haspopup=""true"" class=""dropdownMenu-module--button--eeb9b "">Find doctors &amp; drugs</button>","Element's background color could not be determined due to a background image","serious",".desktopNav-module--listItem--e20a2:nth-child(2) > .dropdownMenu-module--wrapper--bc3d0 > .dropdownMenu-module--button--eeb9b[role=""button""][aria-haspopup=""true""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/accessibility/","<button role=""button"" aria-haspopup=""true"" class=""dropdownMenu-module--button--eeb9b "">My plan &amp; benefits</button>","Element's background color could not be determined due to a background image","serious",".desktopNav-module--listItem--e20a2:nth-child(3) > .dropdownMenu-module--wrapper--bc3d0 > .dropdownMenu-module--button--eeb9b[role=""button""][aria-haspopup=""true""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/accessibility/","<button role=""button"" aria-haspopup=""true"" class=""dropdownMenu-module--button--eeb9b "">Member support</button>","Element's background color could not be determined due to a background image","serious",".desktopNav-module--listItem--e20a2:nth-child(4) > .dropdownMenu-module--wrapper--bc3d0 > .dropdownMenu-module--button--eeb9b[role=""button""][aria-haspopup=""true""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/accessibility/","<h1>Accessibility</h1>","Element's background color could not be determined because it's partially obscured by another element","serious","h1","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<button role=""button"" aria-haspopup=""true"" class=""dropdownMenu-module--button--eeb9b "">Join a plan</button>","Element's background color could not be determined due to a background image","serious",".desktopNav-module--listItem--e20a2:nth-child(1) > .dropdownMenu-module--wrapper--bc3d0 > .dropdownMenu-module--button--eeb9b[role=""button""][aria-haspopup=""true""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<button role=""button"" aria-haspopup=""true"" class=""dropdownMenu-module--button--eeb9b "">Find doctors &amp; drugs</button>","Element's background color could not be determined due to a background image","serious",".desktopNav-module--listItem--e20a2:nth-child(2) > .dropdownMenu-module--wrapper--bc3d0 > .dropdownMenu-module--button--eeb9b[role=""button""][aria-haspopup=""true""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<button role=""button"" aria-haspopup=""true"" class=""dropdownMenu-module--button--eeb9b "">My plan &amp; benefits</button>","Element's background color could not be determined due to a background image","serious",".desktopNav-module--listItem--e20a2:nth-child(3) > .dropdownMenu-module--wrapper--bc3d0 > .dropdownMenu-module--button--eeb9b[role=""button""][aria-haspopup=""true""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<button role=""button"" aria-haspopup=""true"" class=""dropdownMenu-module--button--eeb9b "">Member support</button>","Element's background color could not be determined due to a background image","serious",".desktopNav-module--listItem--e20a2:nth-child(4) > .dropdownMenu-module--wrapper--bc3d0 > .dropdownMenu-module--button--eeb9b[role=""button""][aria-haspopup=""true""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<h1>2023 Plan Documents</h1>","Element's background color could not be determined because it's partially obscured by another element","serious","h1","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H3080-003-000-2023"" target=""_blank"" rel=""noopener noreferrer"">Devoted DUAL Alabama - 1 (HMO D-SNP)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(3) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(3) > .secondary-button > a[target=""_blank""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H3080-004-000-2023"" target=""_blank"" rel=""noopener noreferrer"">Devoted DUAL Alabama - 2 (HMO D-SNP)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(3) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(4) > .secondary-button > a[target=""_blank""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
